Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,322,1,2016-10-25,GSW,,SAS,L 100-129,*,32:37,7,14,.500,2,5,.400,5,9,.556,.571,2,2,1.000,5,7,12,6,5,1,2,2,18,23.7,-5
2,323,2,2016-10-28,GSW,@,NOP,W 122-114,*,34:04,3,10,.300,1,2,.500,2,8,.250,.350,1,2,.500,4,7,11,7,2,0,3,5,8,8.6,0
3,324,3,2016-10-30,GSW,@,PHO,W 106-100,*,37:47,2,9,.222,0,4,.000,2,5,.400,.222,1,2,.500,1,12,13,9,0,3,2,3,5,8.6,7
4,325,4,2016-11-01,GSW,@,POR,W 127-104,*,30:01,2,3,.667,1,2,.500,1,1,1.000,.833,1,2,.500,0,8,8,9,3,2,0,2,6,16.6,24
5,326,5,2016-11-03,GSW,,OKC,W 122-96,*,29:10,2,9,.222,0,2,.000,2,7,.286,.222,5,6,.833,4,6,10,5,1,4,4,3,9,9.8,9
6,327,6,2016-11-04,GSW,@,LAL,L 97-117,*,33:41,6,10,.600,0,3,.000,6,7,.857,.600,4,6,.667,2,7,9,4,4,0,1,1,16,19.5,-9
7,328,7,2016-11-07,GSW,,NOP,W 116-106,*,34:42,2,7,.286,0,1,.000,2,6,.333,.286,0,0,,2,10,12,11,2,2,2,3,4,12.2,4
8,329,8,2016-11-09,GSW,,DAL,W 116-95,*,34:36,6,11,.545,4,6,.667,2,5,.400,.727,0,1,.000,1,9,10,4,0,1,1,3,16,15.0,9
9,330,9,2016-11-10,GSW,@,DEN,W 125-101,*,28:46,4,7,.571,3,4,.750,1,3,.333,.786,2,2,1.000,0,9,9,5,3,0,1,2,13,17.1,22
10,331,10,2016-11-13,GSW,,PHO,W 133-120,*,37:01,4,10,.400,1,5,.200,3,5,.600,.450,5,5,1.000,2,5,7,11,3,2,3,3,14,19.4,20
11,332,11,2016-11-16,GSW,@,TOR,W 127-121,*,34:54,5,13,.385,1,4,.250,4,9,.444,.423,0,0,,0,7,7,5,2,3,3,4,11,9.0,1
12,333,12,2016-11-18,GSW,@,BOS,W 104-88,*,35:09,3,11,.273,2,6,.333,1,5,.200,.364,3,4,.750,1,7,8,8,1,2,1,3,11,12.7,14
13,334,13,2016-11-19,GSW,@,MIL,W 124-121,*,35:31,3,7,.429,0,1,.000,3,6,.500,.429,4,4,1.000,1,1,2,5,3,2,2,3,10,12.0,10
14,335,14,2016-11-21,GSW,@,IND,W 120-83,*,29:25,4,7,.571,0,2,.000,4,5,.800,.571,2,2,1.000,3,6,9,7,2,2,1,1,10,17.5,32
15,336,15,2016-11-23,GSW,,LAL,W 149-106,*,27:56,1,6,.167,0,3,.000,1,3,.333,.167,3,6,.500,1,8,9,11,1,1,0,1,5,12.1,30
16,337,16,2016-11-25,GSW,@,LAL,W 109-85,*,25:56,5,7,.714,1,2,.500,4,5,.800,.786,1,3,.333,0,8,8,4,3,1,2,3,12,14.0,11
16,,17,2016-11-26,GSW,,MIN,W 115-102,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
17,338,18,2016-11-28,GSW,,ATL,W 105-100,*,39:10,2,9,.222,0,3,.000,2,6,.333,.222,0,0,,1,2,3,7,1,4,2,4,4,4.9,8
18,339,19,2016-12-01,GSW,,HOU,L 127-132 (2OT),*,46:55,9,15,.600,0,2,.000,9,13,.692,.600,2,5,.400,5,10,15,9,2,1,4,6,20,21.0,1
19,340,20,2016-12-03,GSW,,PHO,W 138-109,*,28:11,2,6,.333,1,3,.333,1,3,.333,.417,4,5,.800,1,4,5,14,3,0,4,3,9,14.7,10
20,341,21,2016-12-05,GSW,,IND,W 142-106,*,26:55,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,1,4,5,10,4,1,1,3,2,9.6,24
21,342,22,2016-12-07,GSW,@,LAC,W 115-98,*,31:31,8,10,.800,3,5,.600,5,5,1.000,.950,3,4,.750,3,2,5,4,2,0,1,4,22,22.7,25
22,343,23,2016-12-08,GSW,@,UTA,W 106-99,*,34:55,4,9,.444,4,6,.667,0,3,.000,.667,1,4,.250,2,8,10,8,4,0,1,2,13,18.7,10
23,344,24,2016-12-10,GSW,@,MEM,L 89-110,*,26:07,3,7,.429,0,1,.000,3,6,.500,.429,1,3,.333,4,3,7,1,2,0,4,4,7,3.3,-21
24,345,25,2016-12-11,GSW,@,MIN,W 116-108,*,34:34,6,9,.667,5,8,.625,1,1,1.000,.944,1,2,.500,0,5,5,4,1,1,2,4,18,16.1,-12
25,346,26,2016-12-13,GSW,@,NOP,W 113-109,*,35:59,4,11,.364,2,5,.400,2,6,.333,.455,2,2,1.000,1,13,14,10,4,1,2,2,12,19.4,5
26,347,27,2016-12-15,GSW,,NYK,W 103-90,*,31:35,2,12,.167,1,5,.200,1,7,.143,.208,0,0,,5,6,11,7,0,2,3,3,5,4.8,18
27,348,28,2016-12-17,GSW,,POR,W 135-90,*,28:32,1,4,.250,0,2,.000,1,2,.500,.250,1,2,.500,0,12,12,13,0,1,1,2,3,11.8,20
28,349,29,2016-12-20,GSW,,UTA,W 104-74,*,31:20,6,11,.545,2,5,.400,4,6,.667,.636,1,2,.500,0,11,11,4,5,0,2,3,15,17.2,32
28,,30,2016-12-22,GSW,@,BRK,W 117-101,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,350,31,2016-12-23,GSW,@,DET,W 119-113,*,37:43,1,7,.143,0,5,.000,1,2,.500,.143,3,4,.750,0,9,9,12,2,1,4,4,5,8.3,4
30,351,32,2016-12-25,GSW,@,CLE,L 108-109,*,31:46,7,9,.778,0,2,.000,7,7,1.000,.778,2,2,1.000,0,4,4,4,1,0,6,5,16,9.5,-1
31,352,33,2016-12-28,GSW,,TOR,W 121-111,*,37:41,6,8,.750,2,3,.667,4,5,.800,.875,0,0,,0,6,6,10,2,2,4,3,14,17.8,21
32,353,34,2016-12-30,GSW,,DAL,W 108-99,*,26:33,6,10,.600,1,3,.333,5,7,.714,.650,0,0,,2,6,8,7,0,0,3,3,13,12.3,17
33,354,35,2017-01-02,GSW,,DEN,W 127-119,*,36:05,5,8,.625,1,2,.500,4,6,.667,.688,4,6,.667,3,7,10,13,0,0,5,3,15,17.7,11
34,355,36,2017-01-04,GSW,,POR,W 125-117,*,30:11,3,6,.500,2,4,.500,1,2,.500,.667,1,3,.333,1,6,7,11,3,1,2,5,9,15.1,4
