Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,814,1,2024-10-23,GSW,@,POR,W 140-104,*,20:26,3,3,1.000,1,1,1.000,2,2,1.000,1.167,1,2,.500,0,6,6,3,1,2,3,3,8,8.8,12
2,815,2,2024-10-25,GSW,@,UTA,W 127-86,*,19:51,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,0,2,2,4,3,0,2,3,3,3.8,12
3,816,3,2024-10-27,GSW,,LAC,L 104-112,*,26:49,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,5,5,2,0,0,2,4,2,-0.1,2
4,817,4,2024-10-29,GSW,,NOP,W 124-106,*,28:30,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,1,2,3,7,1,2,0,4,3,7.6,15
5,818,5,2024-10-30,GSW,,NOP,W 104-89,*,30:07,5,11,.455,3,5,.600,2,6,.333,.591,1,1,1.000,1,3,4,6,1,5,3,5,14,13.6,13
6,819,6,2024-11-02,GSW,@,HOU,W 127-121 (OT),*,35:29,4,8,.500,1,3,.333,3,5,.600,.563,5,9,.556,4,7,11,3,0,0,1,6,14,12.0,-5
7,820,7,2024-11-04,GSW,@,WAS,W 125-112,*,28:53,5,7,.714,3,4,.750,2,3,.667,.929,5,7,.714,1,7,8,5,0,1,2,2,18,18.5,11
8,821,8,2024-11-06,GSW,@,BOS,W 118-112,*,30:19,2,8,.250,0,4,.000,2,4,.500,.250,5,6,.833,2,4,6,4,0,0,2,1,9,6.8,3
9,822,9,2024-11-08,GSW,@,CLE,L 117-136,*,20:32,2,7,.286,2,5,.400,0,2,.000,.429,0,0,,0,2,2,6,3,0,2,4,6,6.1,-23
10,823,10,2024-11-10,GSW,@,OKC,W 127-116,*,30:51,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,0,4,4,11,0,0,3,4,8,10.0,8
11,824,11,2024-11-12,GSW,,DAL,W 120-117,*,31:42,3,6,.500,2,4,.500,1,2,.500,.667,3,4,.750,0,7,7,6,3,2,0,2,11,17.5,20
12,825,12,2024-11-15,GSW,,MEM,W 123-118,*,30:15,5,11,.455,3,7,.429,2,4,.500,.591,0,0,,0,8,8,7,1,0,1,3,13,13.4,6
13,826,13,2024-11-18,GSW,@,LAC,L 99-102,*,32:18,3,7,.429,2,3,.667,1,4,.250,.571,1,2,.500,1,8,9,7,1,1,6,3,9,7.4,-3
14,827,14,2024-11-20,GSW,,ATL,W 120-97,*,27:38,4,8,.500,0,4,.000,4,4,1.000,.500,1,2,.500,0,7,7,9,1,2,3,3,9,11.2,29
15,828,15,2024-11-22,GSW,@,NOP,W 112-108,*,29:48,3,6,.500,3,4,.750,0,2,.000,.750,2,6,.333,3,5,8,5,1,0,4,2,11,9.7,7
16,829,16,2024-11-23,GSW,@,SAS,L 94-104,*,26:41,0,5,.000,0,3,.000,0,2,.000,.000,1,2,.500,2,5,7,8,0,1,0,6,1,3.9,0
17,830,17,2024-11-25,GSW,,BRK,L 120-128,*,28:55,2,6,.333,1,3,.333,1,3,.333,.417,1,4,.250,0,6,6,7,0,0,2,3,6,4.9,1
18,831,18,2024-11-27,GSW,,OKC,L 101-105,*,32:12,4,11,.364,2,8,.250,2,3,.667,.455,0,0,,3,11,14,6,1,2,3,1,10,12.5,5
19,832,19,2024-11-30,GSW,@,PHO,L 105-113,*,30:35,5,8,.625,2,5,.400,3,3,1.000,.750,1,1,1.000,0,2,2,7,2,1,4,3,13,12.4,6
19,,20,2024-12-03,GSW,@,DEN,L 115-119,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,21,2024-12-05,GSW,,HOU,W 99-93,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
