Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,640,1,2021-10-19,GSW,@,LAL,W 121-114,*,29:56,2,5,.400,0,0,,2,5,.400,.400,2,4,.500,3,5,8,6,1,0,5,3,6,5.1,-2
2,641,2,2021-10-21,GSW,,LAC,W 115-113,*,33:43,4,5,.800,0,0,,4,5,.800,.800,2,9,.222,0,6,6,7,1,0,1,3,10,10.8,-7
3,642,3,2021-10-24,GSW,@,SAC,W 119-107,*,34:23,6,12,.500,1,2,.500,5,10,.500,.542,1,2,.500,2,4,6,6,0,0,1,1,14,13.0,10
4,643,4,2021-10-26,GSW,@,OKC,W 106-98,*,32:05,3,4,.750,1,1,1.000,2,3,.667,.875,1,2,.500,1,8,9,8,3,1,4,5,8,12.4,0
5,644,5,2021-10-28,GSW,,MEM,L 101-104 (OT),*,37:37,2,5,.400,0,0,,2,5,.400,.400,0,0,,1,11,12,7,3,5,5,2,4,10.9,3
6,645,6,2021-10-30,GSW,,OKC,W 103-82,*,25:30,6,8,.750,1,2,.500,5,6,.833,.813,1,2,.500,0,11,11,8,0,1,2,2,14,17.2,16
7,646,7,2021-11-03,GSW,,CHO,W 114-92,*,34:48,2,5,.400,0,0,,2,5,.400,.400,1,3,.333,1,9,10,8,1,0,3,2,5,7.7,26
8,647,8,2021-11-05,GSW,,NOP,W 126-85,*,24:30,3,5,.600,0,2,.000,3,3,1.000,.600,2,2,1.000,4,4,8,5,1,1,0,4,8,13.3,10
9,648,9,2021-11-07,GSW,,HOU,W 120-107,*,22:22,3,5,.600,0,1,.000,3,4,.750,.600,0,0,,1,7,8,9,0,1,6,4,6,5.9,8
10,649,10,2021-11-08,GSW,,ATL,W 127-113,*,29:51,2,8,.250,0,1,.000,2,7,.286,.250,0,0,,4,3,7,9,2,0,3,3,4,7.0,13
11,650,11,2021-11-10,GSW,,MIN,W 123-110,*,21:14,0,3,.000,0,1,.000,0,2,.000,.000,7,8,.875,2,3,5,6,2,1,3,0,7,10.7,1
12,651,12,2021-11-12,GSW,,CHI,W 119-93,*,28:01,4,6,.667,1,1,1.000,3,5,.600,.750,0,0,,1,8,9,7,1,0,2,3,9,12.2,10
13,652,13,2021-11-14,GSW,@,CHO,L 102-106,*,32:27,5,7,.714,1,2,.500,4,5,.800,.786,0,0,,0,6,6,6,0,2,3,3,11,11.3,-8
14,653,14,2021-11-16,GSW,@,BRK,W 117-99,*,28:43,5,6,.833,1,2,.500,4,4,1.000,.917,0,0,,0,6,6,8,1,0,3,3,11,13.0,17
15,654,15,2021-11-18,GSW,@,CLE,W 104-89,*,29:49,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,1,1,2,14,1,1,2,1,4,12.8,0
15,,16,2021-11-19,GSW,@,DET,W 105-102,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
16,655,17,2021-11-21,GSW,,TOR,W 119-104,*,31:59,1,3,.333,0,1,.000,1,2,.500,.333,2,2,1.000,0,14,14,8,0,1,1,1,4,11.4,24
17,656,18,2021-11-24,GSW,,PHI,W 116-96,*,28:23,3,5,.600,0,1,.000,3,4,.750,.600,4,4,1.000,0,9,9,7,1,0,4,4,10,10.7,11
18,657,19,2021-11-26,GSW,,POR,W 118-103,*,34:18,5,8,.625,0,1,.000,5,7,.714,.625,2,3,.667,1,7,8,12,2,3,6,3,12,16.1,17
19,658,20,2021-11-28,GSW,@,LAC,W 105-90,*,30:04,3,7,.429,0,0,,3,7,.429,.429,2,4,.500,0,4,4,7,2,0,4,4,8,6.0,-3
20,659,21,2021-11-30,GSW,@,PHO,L 96-104,*,32:25,4,8,.500,0,0,,4,8,.500,.500,0,0,,3,8,11,5,0,1,5,3,8,6.5,-7
21,660,22,2021-12-03,GSW,,PHO,W 118-96,*,30:27,4,6,.667,1,1,1.000,3,5,.600,.750,0,0,,0,9,9,9,6,3,2,2,9,20.7,25
22,661,23,2021-12-04,GSW,,SAS,L 107-112,*,32:50,4,7,.571,0,2,.000,4,5,.800,.571,1,2,.500,1,7,8,9,1,1,4,1,9,11.7,-14
23,662,24,2021-12-06,GSW,,ORL,W 126-95,*,28:30,3,4,.750,0,0,,3,4,.750,.750,1,2,.500,1,6,7,3,3,1,3,3,7,9.1,18
24,663,25,2021-12-08,GSW,,POR,W 104-94,*,32:27,1,5,.200,0,1,.000,1,4,.250,.200,3,6,.500,2,8,10,8,1,1,3,2,5,8.0,6
25,664,26,2021-12-11,GSW,@,PHI,L 93-102,*,28:30,2,4,.500,0,1,.000,2,3,.667,.500,3,4,.750,0,4,4,2,3,0,2,5,7,6.2,-5
26,665,27,2021-12-13,GSW,@,IND,W 102-100,*,31:02,7,10,.700,0,1,.000,7,9,.778,.700,1,2,.500,2,7,9,5,0,0,3,4,15,12.8,-4
27,666,28,2021-12-14,GSW,@,NYK,W 105-96,*,31:48,3,6,.500,1,1,1.000,2,5,.400,.583,1,2,.500,2,9,11,7,1,3,3,3,8,12.5,8
28,667,29,2021-12-17,GSW,@,BOS,W 111-107,*,31:16,2,6,.333,0,3,.000,2,3,.667,.333,2,2,1.000,0,5,5,8,0,1,2,5,6,6.4,-7
28,,30,2021-12-18,GSW,@,TOR,L 100-119,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
29,668,31,2021-12-20,GSW,,SAC,W 113-98,*,33:11,7,11,.636,1,2,.500,6,9,.667,.682,1,2,.500,1,10,11,10,2,2,5,3,16,18.6,7
30,669,32,2021-12-23,GSW,,MEM,W 113-104,*,33:35,4,8,.500,0,3,.000,4,5,.800,.500,0,0,,0,5,5,9,2,3,5,4,8,9.3,7
31,670,33,2021-12-25,GSW,@,PHO,W 116-107,*,34:05,3,7,.429,2,4,.500,1,3,.333,.571,0,0,,2,6,8,10,3,3,4,1,8,15.2,8
31,,34,2021-12-28,GSW,,DEN,L 86-89,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
31,,35,2022-01-01,GSW,@,UTA,W 123-116,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
32,671,36,2022-01-03,GSW,,MIA,W 115-108,*,36:14,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,2,6,8,13,1,4,2,4,5,14.8,10
33,672,37,2022-01-05,GSW,@,DAL,L 82-99,*,31:48,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,3,3,4,2,1,5,2,2,0.2,-3
33,,38,2022-01-06,GSW,@,NOP,L 96-101,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,673,39,2022-01-09,GSW,,CLE,W 96-82,*,00:07,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
34,,40,2022-01-11,GSW,@,MEM,L 108-116,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,41,2022-01-13,GSW,@,MIL,L 99-118,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,42,2022-01-14,GSW,@,CHI,W 138-96,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,43,2022-01-16,GSW,@,MIN,L 99-119,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,44,2022-01-18,GSW,,DET,W 102-86,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,45,2022-01-20,GSW,,IND,L 117-121 (OT),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,46,2022-01-21,GSW,,HOU,W 105-103,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,47,2022-01-23,GSW,,UTA,W 94-92,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,48,2022-01-25,GSW,,DAL,W 130-92,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,49,2022-01-27,GSW,,MIN,W 124-115,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,50,2022-01-29,GSW,,BRK,W 110-106,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,51,2022-01-31,GSW,@,HOU,W 122-108,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,52,2022-02-01,GSW,@,SAS,W 124-120,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,53,2022-02-03,GSW,,SAC,W 126-114,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,54,2022-02-07,GSW,@,OKC,W 110-98,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,55,2022-02-09,GSW,@,UTA,L 85-111,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,56,2022-02-10,GSW,,NYK,L 114-116,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
34,,57,2022-02-12,GSW,,LAL,W 117-115,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
