Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,534,1,2019-10-24,GSW,,LAC,L 122-141,*,28:25,3,6,.500,1,2,.500,2,4,.500,.583,4,4,1.000,0,4,4,3,1,0,0,3,11,11.1,-35
2,535,2,2019-10-27,GSW,@,OKC,L 92-120,*,23:57,4,9,.444,1,4,.250,3,5,.600,.500,1,1,1.000,0,5,5,2,2,0,1,2,10,8.4,-23
3,536,3,2019-10-28,GSW,@,NOP,W 134-123,*,33:53,7,12,.583,0,1,.000,7,11,.636,.583,2,3,.667,3,14,17,10,2,0,4,1,16,20.9,36
4,537,4,2019-10-30,GSW,,PHO,L 110-121,*,23:45,2,8,.250,0,2,.000,2,6,.333,.250,0,2,.000,0,5,5,4,1,0,1,2,4,1.9,-30
5,538,5,2019-11-01,GSW,,SAS,L 110-127,*,34:26,2,7,.286,2,4,.500,0,3,.000,.429,0,0,,1,7,8,7,1,0,1,3,6,8.4,-16
5,,6,2019-11-02,GSW,,CHO,L 87-93,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,2019-11-04,GSW,,POR,W 127-118,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,2019-11-06,GSW,@,HOU,L 112-129,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,2019-11-08,GSW,@,MIN,L 119-125 (OT),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,2019-11-09,GSW,@,OKC,L 108-114,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
6,539,11,2019-11-11,GSW,,UTA,L 108-122,*,22:20,2,7,.286,0,4,.000,2,3,.667,.286,0,0,,0,7,7,4,0,0,1,4,4,2.2,-14
7,540,12,2019-11-13,GSW,@,LAL,L 94-120,*,28:14,4,10,.400,2,4,.500,2,6,.333,.500,0,0,,0,1,1,5,1,1,3,1,10,6.7,-15
8,541,13,2019-11-15,GSW,,BOS,L 100-105,*,34:02,3,6,.500,1,4,.250,2,2,1.000,.583,4,5,.800,1,10,11,4,2,1,2,3,11,13.6,4
9,542,14,2019-11-17,GSW,@,NOP,L 100-108,*,32:30,2,10,.200,1,3,.333,1,7,.143,.250,2,2,1.000,0,6,6,4,2,1,3,2,7,4.3,-15
10,543,15,2019-11-19,GSW,@,MEM,W 114-95,*,34:38,4,12,.333,0,2,.000,4,10,.400,.333,0,0,,1,9,10,11,0,2,1,3,8,11.5,19
10,,16,2019-11-20,GSW,@,DAL,L 94-142,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
10,,17,2019-11-22,GSW,@,UTA,L 109-113,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
10,,18,2019-11-25,GSW,,OKC,L 97-100,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
11,544,19,2019-11-27,GSW,,CHI,W 104-90,*,23:38,2,3,.667,1,1,1.000,1,2,.500,.833,2,4,.500,0,5,5,8,3,2,5,3,7,10.2,9
12,545,20,2019-11-29,GSW,@,MIA,L 105-122,*,19:18,2,5,.400,0,2,.000,2,3,.667,.400,2,2,1.000,0,2,2,4,0,0,2,2,6,3.9,-20
13,546,21,2019-12-01,GSW,@,ORL,L 96-100,*,23:23,4,6,.667,1,1,1.000,3,5,.600,.750,2,2,1.000,0,4,4,7,2,0,2,4,11,12.9,-1
13,,22,2019-12-02,GSW,@,ATL,L 79-104,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
14,547,23,2019-12-04,GSW,@,CHO,L 91-106,*,24:36,2,6,.333,0,2,.000,2,4,.500,.333,1,2,.500,0,3,3,6,3,0,3,4,5,4.7,-3
15,548,24,2019-12-06,GSW,@,CHI,W 100-98,*,30:18,2,6,.333,0,1,.000,2,5,.400,.333,5,8,.625,0,4,4,5,4,1,4,2,9,9.0,-5
16,549,25,2019-12-09,GSW,,MEM,L 102-110,*,33:23,6,13,.462,1,3,.333,5,10,.500,.500,3,4,.750,1,2,3,5,1,3,4,3,16,11.6,-11
17,550,26,2019-12-11,GSW,,NYK,L 122-124 (OT),*,39:29,5,11,.455,1,5,.200,4,6,.667,.500,3,4,.750,0,10,10,12,4,0,2,2,14,20.5,-10
17,,27,2019-12-13,GSW,@,UTA,L 106-114,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
18,551,28,2019-12-15,GSW,,SAC,L 79-100,*,26:10,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,2,2,3,1,0,2,2,7,4.2,-6
19,552,29,2019-12-18,GSW,@,POR,L 112-122,*,29:25,2,6,.333,1,1,1.000,1,5,.200,.417,2,4,.500,0,5,5,2,3,0,0,1,7,8.3,-8
20,553,30,2019-12-20,GSW,,NOP,W 106-102,*,31:20,3,6,.500,0,1,.000,3,5,.600,.500,4,4,1.000,1,3,4,8,2,0,3,3,10,12.0,7
21,554,31,2019-12-23,GSW,,MIN,W 113-104,*,32:55,2,6,.333,0,3,.000,2,3,.667,.333,5,5,1.000,1,13,14,5,2,1,7,4,9,7.8,18
22,555,32,2019-12-25,GSW,,HOU,W 116-104,*,33:50,8,14,.571,2,4,.500,6,10,.600,.643,2,3,.667,3,8,11,3,0,1,3,2,20,16.5,20
23,556,33,2019-12-27,GSW,,PHO,W 105-96,*,32:28,4,14,.286,2,5,.400,2,9,.222,.357,1,2,.500,3,4,7,4,0,3,1,4,11,8.0,6
24,557,34,2019-12-28,GSW,,DAL,L 121-141,*,27:20,4,10,.400,2,5,.400,2,5,.400,.500,0,0,,0,3,3,8,1,0,3,3,10,7.9,-22
25,558,35,2019-12-31,GSW,@,SAS,L 113-117 (OT),*,35:48,4,11,.364,2,6,.333,2,5,.400,.455,0,0,,0,10,10,9,1,1,2,2,10,12.1,0
26,559,36,2020-01-02,GSW,@,MIN,L 84-99,*,22:24,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,3,3,6,1,0,1,1,2,4.3,-18
27,560,37,2020-01-04,GSW,,DET,L 104-111,*,21:36,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,1,5,6,3,0,1,1,1,2,4.2,-11
27,,38,2020-01-06,GSW,@,SAC,L 98-111,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
28,561,39,2020-01-08,GSW,,MIL,L 98-107,*,33:38,1,7,.143,1,5,.200,0,2,.000,.214,2,2,1.000,0,8,8,8,2,1,4,4,5,5.6,-7
29,562,40,2020-01-10,GSW,@,LAC,L 100-109,*,31:03,3,9,.333,1,6,.167,2,3,.667,.389,1,2,.500,0,6,6,4,1,1,1,3,8,6.6,-6
30,563,41,2020-01-12,GSW,@,MEM,L 102-122,*,23:03,1,5,.200,1,2,.500,0,3,.000,.300,0,0,,2,6,8,4,3,3,4,3,3,5.8,-7
31,564,42,2020-01-14,GSW,,DAL,L 97-124,*,27:17,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,0,3,3,4,1,0,2,3,5,3.1,-21
32,565,43,2020-01-16,GSW,,DEN,L 131-134 (OT),*,35:49,2,8,.250,0,2,.000,2,6,.333,.250,2,2,1.000,0,8,8,8,1,2,0,3,6,10.4,4
32,,44,2020-01-18,GSW,,ORL,W 109-95,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
32,,45,2020-01-20,GSW,@,POR,L 124-129 (OT),Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
33,566,46,2020-01-22,GSW,,UTA,L 96-129,*,25:11,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,4,4,2,1,0,0,2,5,6.5,-19
34,567,47,2020-01-24,GSW,,IND,L 118-129,*,31:56,3,8,.375,1,4,.250,2,4,.500,.438,3,3,1.000,1,5,6,11,1,0,4,1,10,12.1,-3
35,568,48,2020-01-28,GSW,@,PHI,L 104-115,*,33:27,3,8,.375,1,6,.167,2,2,1.000,.438,2,2,1.000,0,9,9,12,1,3,1,5,9,15.8,7
36,569,49,2020-01-30,GSW,@,BOS,L 104-119,*,27:20,3,8,.375,1,2,.500,2,6,.333,.438,2,4,.500,1,3,4,7,1,0,3,3,9,7.1,-8
37,570,50,2020-02-01,GSW,@,CLE,W 131-112,*,25:50,3,6,.500,2,5,.400,1,1,1.000,.667,0,0,,1,6,7,16,2,2,2,3,8,18.9,26
38,571,51,2020-02-03,GSW,@,WAS,W 125-117,*,33:12,5,8,.625,2,3,.667,3,5,.600,.750,0,0,,1,9,10,7,2,1,3,5,12,14.4,8
39,572,52,2020-02-05,GSW,@,BRK,L 88-129,*,20:41,2,6,.333,0,1,.000,2,5,.400,.333,1,2,.500,0,3,3,2,0,1,0,1,5,3.8,-26
