Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
26,493,40,2019-01-05,GSW,@,SAC,W 127-123,*,31:57,5,7,.714,1,2,.500,4,5,.800,.786,1,1,1.000,1,6,7,7,1,2,3,4,12,14.3,8
27,494,41,2019-01-08,GSW,,NYK,W 122-95,*,33:27,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,5,6,11,10,0,2,1,2,2,10.8,20
28,495,42,2019-01-11,GSW,,CHI,W 146-109,*,20:40,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,6,7,7,0,1,0,4,2,7.8,25
29,496,43,2019-01-13,GSW,@,DAL,W 119-114,*,32:20,2,6,.333,0,3,.000,2,3,.667,.333,0,0,,1,5,6,7,1,1,3,4,4,4.8,14
30,497,44,2019-01-15,GSW,@,DEN,W 142-111,*,31:18,1,5,.200,1,2,.500,0,3,.000,.300,1,2,.500,0,6,6,13,1,0,1,3,4,10.2,41
31,498,45,2019-01-16,GSW,,NOP,W 147-140,*,35:52,6,9,.667,4,7,.571,2,2,1.000,.889,1,2,.500,0,6,6,14,1,1,1,3,17,23.8,2
32,499,46,2019-01-18,GSW,@,LAC,W 112-94,*,28:48,3,7,.429,0,4,.000,3,3,1.000,.429,1,2,.500,0,8,8,9,2,1,1,1,7,12.9,24
33,500,47,2019-01-21,GSW,@,LAL,W 130-111,*,22:33,1,4,.250,0,2,.000,1,2,.500,.250,3,4,.750,0,3,3,7,3,0,1,1,5,9.6,24
34,501,48,2019-01-24,GSW,@,WAS,W 126-118,*,33:08,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,2,13,15,7,0,1,3,5,7,9.9,-4
35,502,49,2019-01-26,GSW,@,BOS,W 115-111,*,34:09,1,3,.333,1,2,.500,0,1,.000,.500,2,4,.500,3,8,11,8,3,1,3,1,5,12.9,-9
35,,50,2019-01-28,GSW,@,IND,W 132-100,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
