Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
9,,13,2023-11-16,GSW,,OKC,L 109-128,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
9,,14,2023-11-18,GSW,,OKC,L 123-130 (OT),Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
9,,15,2023-11-20,GSW,,HOU,W 121-116,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
9,,16,2023-11-22,GSW,@,PHO,L 115-123,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
9,,17,2023-11-24,GSW,,SAS,W 118-112,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
10,768,18,2023-11-28,GSW,@,SAC,L 123-124,*,33:13,3,8,.375,2,4,.500,1,4,.250,.500,0,0,,0,6,6,3,0,2,4,4,8,3.3,5
11,769,19,2023-11-30,GSW,,LAC,W 120-114,*,28:57,4,8,.500,2,4,.500,2,4,.500,.625,3,4,.750,1,4,5,5,0,0,2,5,13,10.0,-11
12,770,20,2023-12-02,GSW,@,LAC,L 112-113,*,32:19,8,15,.533,4,8,.500,4,7,.571,.667,1,2,.500,1,8,9,4,0,1,3,2,21,16.1,-6
13,771,21,2023-12-06,GSW,,POR,W 110-106,*,30:34,3,7,.429,0,2,.000,3,5,.600,.429,4,4,1.000,6,4,10,9,0,2,4,3,10,14.2,-1
14,772,22,2023-12-08,GSW,@,OKC,L 136-138 (OT),*,35:03,5,7,.714,1,2,.500,4,5,.800,.786,1,2,.500,1,4,5,13,0,1,4,6,12,14.0,-2
15,773,23,2023-12-12,GSW,@,PHO,L 116-119,*,17:12,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,2,2,2,0,0,3,3,2,-1.9,-15
15,,24,2023-12-14,GSW,@,LAC,L 113-121,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
15,,25,2023-12-16,GSW,,BRK,W 124-120,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,,26,2023-12-17,GSW,@,POR,W 118-114,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,,27,2023-12-19,GSW,,BOS,W 132-126 (OT),Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,,28,2023-12-22,GSW,,WAS,W 129-118,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,29,2023-12-23,GSW,,POR,W 126-106,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
15,,30,2023-12-25,GSW,@,DEN,L 114-120,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,,31,2023-12-28,GSW,,MIA,L 102-114,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
15,,32,2023-12-30,GSW,,DAL,L 122-132,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,,33,2024-01-02,GSW,,ORL,W 121-115,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
15,,34,2024-01-04,GSW,,DEN,L 127-130,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,,35,2024-01-05,GSW,,DET,W 113-109,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,,36,2024-01-07,GSW,,TOR,L 118-133,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,37,2024-01-10,GSW,,NOP,L 105-141,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,38,2024-01-12,GSW,@,CHI,W 140-131,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,39,2024-01-13,GSW,@,MIL,L 118-129,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,774,40,2024-01-15,GSW,@,MEM,L 107-116,,23:30,2,4,.500,1,1,1.000,1,3,.333,.625,2,2,1.000,0,7,7,4,1,0,3,4,7,6.3,1
17,775,41,2024-01-24,GSW,,ATL,W 134-112,,22:47,5,6,.833,2,3,.667,3,3,1.000,1.000,0,0,,1,4,5,3,2,1,2,3,12,13.3,19
18,776,42,2024-01-25,GSW,,SAC,L 133-134,,31:24,0,3,.000,0,1,.000,0,2,.000,.000,5,8,.625,0,4,4,11,3,1,2,3,5,11.1,14
19,777,43,2024-01-27,GSW,,LAL,L 144-145 (2OT),*,45:42,4,9,.444,0,4,.000,4,5,.800,.444,0,0,,0,14,14,11,3,2,2,5,8,15.6,31
20,778,44,2024-01-30,GSW,,PHI,W 119-107,*,29:04,3,8,.375,2,4,.500,1,4,.250,.500,1,1,1.000,1,5,6,6,0,1,2,3,9,8.5,18
21,779,45,2024-02-02,GSW,@,MEM,W 121-101,*,27:42,4,7,.571,1,2,.500,3,5,.600,.643,0,0,,2,10,12,6,0,3,4,4,9,10.8,10
22,780,46,2024-02-03,GSW,@,ATL,L 134-141 (OT),*,34:59,3,9,.333,1,3,.333,2,6,.333,.389,0,0,,1,5,6,8,0,1,3,2,7,6.6,-7
23,781,47,2024-02-05,GSW,@,BRK,W 109-98,*,30:20,4,6,.667,0,0,,4,6,.667,.667,0,0,,2,8,10,7,0,2,3,2,8,11.7,11
24,782,48,2024-02-07,GSW,@,PHI,W 127-104,*,18:08,2,4,.500,0,1,.000,2,3,.667,.500,0,1,.000,1,5,6,3,1,1,2,3,4,4.4,14
25,783,49,2024-02-08,GSW,@,IND,W 131-109,*,27:35,4,8,.500,0,1,.000,4,7,.571,.500,0,0,,2,6,8,5,2,0,5,3,8,6.5,13
26,784,50,2024-02-10,GSW,,PHO,W 113-112,*,29:30,7,9,.778,1,3,.333,6,6,1.000,.833,0,0,,2,5,7,9,0,0,4,4,15,15.1,3
27,785,51,2024-02-12,GSW,@,UTA,W 129-107,*,23:29,5,7,.714,2,4,.500,3,3,1.000,.857,0,0,,2,8,10,8,1,1,1,4,12,17.6,11
28,786,52,2024-02-14,GSW,,LAC,L 125-130,*,31:08,4,12,.333,1,2,.500,3,10,.300,.375,0,0,,1,9,10,4,1,0,1,5,9,6.4,-12
29,787,53,2024-02-15,GSW,@,UTA,W 140-137,*,28:49,9,14,.643,3,5,.600,6,9,.667,.750,2,4,.500,0,5,5,5,4,2,0,4,23,24.8,-6
30,788,54,2024-02-22,GSW,,LAL,W 128-110,*,21:21,3,5,.600,2,2,1.000,1,3,.333,.800,0,0,,0,7,7,5,0,1,1,1,8,10.6,19
31,789,55,2024-02-23,GSW,,CHO,W 97-84,*,20:44,2,6,.333,1,2,.500,1,4,.250,.417,0,0,,3,10,13,3,1,2,1,2,5,9.4,18
32,790,56,2024-02-25,GSW,,DEN,L 103-119,*,27:10,3,6,.500,1,1,1.000,2,5,.400,.583,0,0,,0,5,5,4,1,0,6,1,7,2.9,-23
33,791,57,2024-02-27,GSW,@,WAS,W 123-112,*,28:53,1,4,.250,1,2,.500,0,2,.000,.375,3,4,.750,0,8,8,8,0,0,2,1,6,8.8,-6
34,792,58,2024-02-29,GSW,@,NYK,W 110-99,*,26:48,3,4,.750,0,0,,3,4,.750,.750,1,2,.500,4,6,10,6,0,1,2,3,7,11.3,19
35,793,59,2024-03-01,GSW,@,TOR,W 120-105,*,27:48,1,4,.250,0,0,,1,4,.250,.250,4,4,1.000,2,11,13,5,1,2,3,2,6,10.4,10
36,794,60,2024-03-03,GSW,@,BOS,L 88-140,*,13:37,2,2,1.000,0,0,,2,2,1.000,1.000,2,2,1.000,0,4,4,2,0,0,0,2,6,7.2,-24
37,795,61,2024-03-06,GSW,,MIL,W 125-90,*,25:05,5,11,.455,2,4,.500,3,7,.429,.545,0,1,.000,0,6,6,6,0,2,3,4,12,8.7,8
38,796,62,2024-03-07,GSW,,CHI,L 122-125,*,32:46,5,12,.417,1,5,.200,4,7,.571,.458,0,0,,2,8,10,12,1,2,4,6,11,12.8,0
39,797,63,2024-03-09,GSW,,SAS,L 113-126,*,27:54,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,2,3,5,4,2,1,3,2,7,8.0,-8
40,798,64,2024-03-11,GSW,@,SAS,W 112-102,*,27:47,2,7,.286,0,2,.000,2,5,.400,.286,1,2,.500,2,4,6,4,2,0,5,6,5,0.5,-6
40,,65,2024-03-13,GSW,@,DAL,L 99-109,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,799,66,2024-03-16,GSW,@,LAL,W 128-121,*,34:15,3,6,.500,0,2,.000,3,4,.750,.500,0,0,,2,10,12,13,1,0,2,3,6,14.3,12
42,800,67,2024-03-18,GSW,,NYK,L 112-119,*,30:53,1,7,.143,0,2,.000,1,5,.200,.143,0,0,,3,5,8,5,1,0,4,2,2,0.8,-7
43,801,68,2024-03-20,GSW,,MEM,W 137-116,*,24:28,5,10,.500,0,3,.000,5,7,.714,.500,0,0,,4,8,12,7,1,1,1,1,10,15.4,25
44,802,69,2024-03-22,GSW,,IND,L 111-123,*,33:19,4,10,.400,0,1,.000,4,9,.444,.400,3,4,.750,2,6,8,6,0,2,1,2,11,12.2,4
45,803,70,2024-03-24,GSW,@,MIN,L 110-114,*,31:33,5,9,.556,2,5,.400,3,4,.750,.667,0,0,,0,8,8,3,1,0,0,2,12,12.4,8
46,804,71,2024-03-26,GSW,@,MIA,W 113-92,*,27:43,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,0,9,9,8,2,0,1,5,4,8.6,9
47,805,72,2024-03-27,GSW,@,ORL,W 101-93,*,03:36,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,3,3,1,0,0,1,1,0,-0.5,-2
48,806,73,2024-03-29,GSW,@,CHO,W 115-97,*,28:02,4,7,.571,0,2,.000,4,5,.800,.571,0,0,,2,6,8,4,1,0,3,4,8,7.1,6
49,807,74,2024-03-31,GSW,@,SAS,W 117-113,*,31:46,8,9,.889,2,2,1.000,6,7,.857,1.000,3,4,.750,2,4,6,11,6,1,5,3,21,28.3,13
50,808,75,2024-04-02,GSW,,DAL,W 104-100,*,30:45,5,8,.625,0,1,.000,5,7,.714,.625,1,1,1.000,3,5,8,6,4,1,3,3,11,15.7,-4
51,809,76,2024-04-04,GSW,@,HOU,W 133-110,*,28:59,2,3,.667,0,1,.000,2,2,1.000,.667,1,2,.500,2,6,8,5,1,1,2,5,5,7.7,26
52,810,77,2024-04-05,GSW,@,DAL,L 106-108,*,34:28,3,9,.333,0,2,.000,3,7,.429,.333,0,0,,2,5,7,3,2,1,4,3,6,3.4,-9
53,811,78,2024-04-07,GSW,,UTA,W 118-110,*,21:04,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,1,2,3,3,2,1,2,1,3,4.3,7
54,812,79,2024-04-09,GSW,@,LAL,W 134-120,*,32:10,5,7,.714,5,7,.714,0,0,,1.071,0,2,.000,0,6,6,10,0,1,4,2,15,16.0,11
54,,80,2024-04-11,GSW,@,POR,W 100-92,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,813,81,2024-04-12,GSW,,NOP,L 109-114,*,35:57,0,0,,0,0,,0,0,,,0,0,,1,11,12,11,1,1,2,5,0,9.4,-6
55,,82,2024-04-14,GSW,,UTA,W 123-116,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,,,,,,33-22,52,1493,185,372,.497,51,129,.395,134,243,.551,.566,54,74,.730,76,322,398,332,55,47,135,166,475,10.0,173
