Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,,1,2023-10-24,GSW,,PHO,L 104-108,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,2,2023-10-27,GSW,@,SAC,W 122-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,759,3,2023-10-29,GSW,@,HOU,W 106-95,*,20:43,2,4,.500,0,0,,2,4,.500,.500,0,1,.000,1,4,5,5,0,0,4,3,4,1.8,2
2,760,4,2023-10-30,GSW,@,NOP,W 130-102,*,21:34,3,8,.375,0,2,.000,3,6,.500,.375,0,0,,1,5,6,7,0,1,1,2,6,7.6,6
3,761,5,2023-11-01,GSW,,SAC,W 102-101,*,27:30,4,7,.571,2,4,.500,2,3,.667,.714,3,4,.750,2,0,2,9,2,2,2,1,13,18.0,-5
4,762,6,2023-11-03,GSW,@,OKC,W 141-139,*,28:58,5,11,.455,2,4,.500,3,7,.429,.545,3,3,1.000,2,3,5,3,0,1,3,5,15,9.4,-1
5,763,7,2023-11-05,GSW,@,CLE,L 104-115,*,29:22,5,11,.455,2,3,.667,3,8,.375,.545,6,6,1.000,0,3,3,8,3,1,1,0,18,21.5,-6
6,764,8,2023-11-06,GSW,@,DET,W 120-109,*,27:33,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,3,6,9,8,0,0,1,2,6,11.7,1
6,,9,2023-11-08,GSW,@,DEN,L 105-108,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,765,10,2023-11-11,GSW,,CLE,L 110-118,*,17:59,3,4,.750,2,3,.667,1,1,1.000,1.000,0,0,,2,3,5,4,0,0,1,3,8,9.3,-1
8,766,11,2023-11-12,GSW,,MIN,L 110-116,*,24:23,3,7,.429,1,3,.333,2,4,.500,.500,2,2,1.000,2,7,9,7,1,0,2,5,9,10.7,-11
9,767,12,2023-11-14,GSW,,MIN,L 101-104,*,01:43,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,1,0,-0.8,-2
