Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,398,1,2017-10-17,GSW,,HOU,L 121-122,*,27:39,2,6,.333,1,2,.500,1,4,.250,.417,4,4,1.000,1,10,11,13,0,0,2,3,9,15.2,7
2,399,2,2017-10-20,GSW,@,NOP,W 128-120,*,34:34,3,11,.273,2,7,.286,1,4,.250,.364,0,0,,0,5,5,9,0,0,5,4,8,2.7,4
3,400,3,2017-10-21,GSW,@,MEM,L 101-111,*,36:25,1,6,.167,0,5,.000,1,1,1.000,.167,1,2,.500,1,6,7,6,2,1,3,5,3,3.2,-13
4,401,4,2017-10-23,GSW,@,DAL,W 133-103,*,29:38,4,8,.500,1,3,.333,3,5,.600,.563,1,1,1.000,0,7,7,8,2,1,2,4,10,12.8,17
5,402,5,2017-10-25,GSW,,TOR,W 117-112,*,36:42,4,7,.571,1,2,.500,3,5,.600,.643,6,6,1.000,4,7,11,6,2,1,6,2,15,16.7,11
6,403,6,2017-10-27,GSW,,WAS,W 120-117,*,16:36,1,2,.500,0,1,.000,1,1,1.000,.500,1,1,1.000,0,3,3,6,0,3,4,1,3,4.8,-14
7,404,7,2017-10-29,GSW,,DET,L 107-115,*,32:21,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,2,11,13,4,0,1,6,3,2,0.6,-12
8,405,8,2017-10-30,GSW,@,LAC,W 141-113,*,31:03,5,8,.625,1,2,.500,4,6,.667,.688,5,8,.625,2,7,9,6,2,1,2,2,16,18.8,16
9,406,9,2017-11-02,GSW,@,SAS,W 112-92,*,29:07,7,8,.875,1,2,.500,6,6,1.000,.938,1,2,.500,1,4,5,6,1,0,3,5,16,14.9,15
10,407,10,2017-11-04,GSW,@,DEN,W 127-108,*,26:43,6,8,.750,3,4,.750,3,4,.750,.938,0,0,,1,6,7,8,2,1,0,2,15,21.8,31
11,408,11,2017-11-06,GSW,,MIA,W 97-80,*,27:28,5,10,.500,4,6,.667,1,4,.250,.700,4,4,1.000,2,7,9,2,0,1,3,4,18,14.0,9
12,409,12,2017-11-08,GSW,,MIN,W 125-101,*,27:16,3,6,.500,0,2,.000,3,4,.750,.500,1,2,.500,0,6,6,6,0,2,4,1,7,6.6,15
13,410,13,2017-11-11,GSW,,PHI,W 135-114,*,31:04,3,7,.429,1,3,.333,2,4,.500,.500,3,4,.750,0,10,10,7,2,5,1,3,10,17.1,8
14,411,14,2017-11-13,GSW,,ORL,W 110-100,*,31:56,8,11,.727,3,5,.600,5,6,.833,.864,1,2,.500,2,2,4,5,2,0,3,1,20,19.2,25
15,412,15,2017-11-16,GSW,@,BOS,L 88-92,*,38:17,3,11,.273,1,4,.250,2,7,.286,.318,4,6,.667,2,6,8,5,1,3,4,2,11,8.7,7
16,413,16,2017-11-18,GSW,@,PHI,W 124-116,*,35:50,4,6,.667,0,1,.000,4,5,.800,.667,0,0,,2,5,7,8,1,2,0,5,8,14.3,11
17,414,17,2017-11-19,GSW,@,BRK,W 118-111,*,35:19,1,8,.125,1,5,.200,0,3,.000,.188,2,2,1.000,0,7,7,8,2,2,1,4,5,8.3,-4
18,415,18,2017-11-22,GSW,@,OKC,L 91-108,*,31:04,1,6,.167,0,3,.000,1,3,.333,.167,2,2,1.000,0,4,4,6,3,2,2,4,4,6.4,-13
18,,19,2017-11-24,GSW,,CHI,W 143-94,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
