Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
56,741,64,2023-03-03,GSW,,NOP,W 108-99,*,23:37,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,0,5,5,1,0,1,4,6,4,-1.5,4
57,742,65,2023-03-05,GSW,@,LAL,L 105-113,*,31:03,7,11,.636,0,1,.000,7,10,.700,.636,1,3,.333,1,7,8,3,0,0,1,4,15,11.6,6
58,743,66,2023-03-07,GSW,@,OKC,L 128-137,*,32:43,5,7,.714,1,1,1.000,4,6,.667,.786,0,0,,0,1,1,11,1,0,2,2,11,14.3,4
59,744,67,2023-03-09,GSW,@,MEM,L 110-131,*,30:13,5,9,.556,0,1,.000,5,8,.625,.556,6,6,1.000,1,4,5,7,3,0,5,1,16,16.1,-1
60,745,68,2023-03-11,GSW,,MIL,W 125-116 (OT),*,35:55,2,10,.200,1,4,.250,1,6,.167,.250,0,0,,2,11,13,9,0,0,2,0,5,7.8,22
61,746,69,2023-03-13,GSW,,PHO,W 123-112,*,30:01,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,5,6,4,2,3,1,3,4,9.6,-5
62,747,70,2023-03-15,GSW,@,LAC,L 126-134,*,35:08,3,7,.429,1,1,1.000,2,6,.333,.500,1,1,1.000,1,7,8,5,1,0,4,5,8,5.6,-5
62,,71,2023-03-17,GSW,@,ATL,L 119-127,Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,
63,748,72,2023-03-18,GSW,@,MEM,L 119-133,*,30:28,5,9,.556,0,1,.000,5,8,.625,.556,1,2,.500,2,5,7,5,0,0,2,3,11,9.5,-3
64,749,73,2023-03-20,GSW,@,HOU,W 121-108,*,33:46,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,7,7,7,1,1,2,3,8,12.3,15
65,750,74,2023-03-22,GSW,@,DAL,W 127-125,*,24:44,6,10,.600,1,4,.250,5,6,.833,.650,1,1,1.000,0,4,4,8,3,4,3,5,14,17.0,3
66,751,75,2023-03-24,GSW,,PHI,W 120-112,*,34:37,5,11,.455,0,5,.000,5,6,.833,.455,0,0,,1,6,7,10,1,0,5,3,10,8.6,15
67,752,76,2023-03-26,GSW,,MIN,L 96-99,*,35:44,5,9,.556,1,3,.333,4,6,.667,.611,1,2,.500,1,6,7,5,1,0,5,4,12,7.7,-7
68,753,77,2023-03-28,GSW,,NOP,W 120-109,*,32:54,4,5,.800,0,0,,4,5,.800,.800,0,0,,0,6,6,13,2,0,4,5,8,13.0,26
69,754,78,2023-03-31,GSW,,SAS,W 130-115,*,29:27,1,4,.250,0,1,.000,1,3,.333,.250,2,2,1.000,2,4,6,11,0,1,6,4,4,5.0,19
70,755,79,2023-04-02,GSW,@,DEN,L 110-112,*,36:34,2,7,.286,0,1,.000,2,6,.333,.286,0,0,,4,5,9,7,1,0,4,5,4,4.1,1
71,756,80,2023-04-04,GSW,,OKC,W 136-125,*,35:50,6,9,.667,1,3,.333,5,6,.833,.722,4,5,.800,3,6,9,5,2,2,3,2,17,19.7,3
72,757,81,2023-04-07,GSW,@,SAC,W 119-97,*,33:17,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,5,5,5,1,2,5,5,4,1.7,30
73,758,82,2023-04-09,GSW,@,POR,W 157-101,*,19:41,4,7,.571,1,2,.500,3,5,.600,.643,0,0,,0,3,3,4,2,2,3,0,9,9.8,23
,,,,,,,41-32,73,2299,250,474,.527,40,131,.305,210,343,.612,.570,77,108,.713,66,459,525,500,74,60,204,229,617,10.0,346
