Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,686,1,2022-10-18,GSW,,LAL,W 123-109,*,24:41,2,5,.400,0,0,,2,5,.400,.400,0,0,,0,5,5,5,0,0,1,1,4,4.9,12
2,687,2,2022-10-21,GSW,,DEN,L 123-128,*,26:38,4,6,.667,1,3,.333,3,3,1.000,.750,4,4,1.000,0,3,3,9,2,2,1,6,13,17.6,11
3,688,3,2022-10-23,GSW,,SAC,W 130-125,*,28:21,3,4,.750,0,0,,3,4,.750,.750,1,2,.500,1,3,4,4,0,0,2,2,7,6.6,17
4,689,4,2022-10-25,GSW,@,PHO,L 105-134,*,29:11,7,10,.700,0,1,.000,7,9,.778,.700,0,0,,2,6,8,5,3,0,5,4,14,12.9,-17
5,690,5,2022-10-27,GSW,,MIA,W 123-110,*,30:05,5,10,.500,0,1,.000,5,9,.556,.500,0,1,.000,2,5,7,4,0,0,5,1,10,4.9,9
6,691,6,2022-10-29,GSW,@,CHO,L 113-120 (OT),*,34:56,6,9,.667,0,1,.000,6,8,.750,.667,0,2,.000,2,6,8,6,1,3,3,6,12,12.4,-13
7,692,7,2022-10-30,GSW,@,DET,L 114-128,*,26:00,2,5,.400,1,2,.500,1,3,.333,.500,2,2,1.000,0,7,7,7,0,1,4,4,7,6.4,-11
8,693,8,2022-11-01,GSW,@,MIA,L 109-116,*,32:10,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,6,6,3,3,0,1,4,5,8.0,7
9,694,9,2022-11-03,GSW,@,ORL,L 129-130,*,29:51,4,5,.800,0,0,,4,5,.800,.800,0,1,.000,0,5,5,7,1,0,0,6,8,10.7,5
9,,10,2022-11-04,GSW,@,NOP,L 105-114,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
10,695,11,2022-11-07,GSW,,SAC,W 116-113,*,36:21,4,7,.571,0,0,,4,7,.571,.571,3,5,.600,0,8,8,6,0,0,5,1,11,8.1,19
11,696,12,2022-11-11,GSW,,CLE,W 106-101,*,32:24,1,5,.200,0,0,,1,5,.200,.200,0,0,,1,8,9,13,1,0,0,5,2,10.1,2
12,697,13,2022-11-13,GSW,@,SAC,L 115-122,*,34:07,3,7,.429,0,2,.000,3,5,.600,.429,0,0,,0,7,7,11,0,1,3,3,6,8.6,-3
13,698,14,2022-11-14,GSW,,SAS,W 132-95,*,25:29,1,6,.167,0,2,.000,1,4,.250,.167,2,2,1.000,1,6,7,6,1,0,1,2,4,6.1,13
14,699,15,2022-11-16,GSW,@,PHO,L 119-130,*,29:19,3,3,1.000,1,1,1.000,2,2,1.000,1.167,2,2,1.000,0,2,2,8,3,0,3,2,9,13.5,-19
15,700,16,2022-11-18,GSW,,NYK,W 111-101,*,31:55,3,4,.750,1,1,1.000,2,3,.667,.875,3,4,.750,0,9,9,7,0,2,2,5,10,13.0,24
16,701,17,2022-11-20,GSW,@,HOU,W 127-120,*,31:46,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,0,6,6,8,0,0,4,5,4,3.4,18
16,,18,2022-11-21,GSW,@,NOP,L 83-128,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
17,702,19,2022-11-23,GSW,,LAC,W 124-107,*,33:00,4,4,1.000,1,1,1.000,3,3,1.000,1.125,0,0,,1,6,7,12,2,0,3,3,9,16.5,21
18,703,20,2022-11-25,GSW,,UTA,W 129-118,*,30:57,6,9,.667,1,2,.500,5,7,.714,.722,0,0,,1,2,3,5,1,2,2,3,13,13.1,9
19,704,21,2022-11-27,GSW,@,MIN,W 137-114,*,32:38,6,7,.857,1,2,.500,5,5,1.000,.929,6,8,.750,1,3,4,11,0,2,0,2,19,25.6,17
20,705,22,2022-11-29,GSW,@,DAL,L 113-116,*,32:45,6,10,.600,0,3,.000,6,7,.857,.600,0,0,,0,6,6,4,1,1,3,3,12,9.5,-5
21,706,23,2022-12-02,GSW,,CHI,W 119-111,*,35:53,4,6,.667,2,3,.667,2,3,.667,.833,3,3,1.000,0,9,9,10,0,2,4,2,13,16.7,20
22,707,24,2022-12-03,GSW,,HOU,W 120-101,*,31:45,1,6,.167,1,5,.200,0,1,.000,.250,0,0,,2,4,6,6,1,1,2,3,3,4.5,22
23,708,25,2022-12-05,GSW,,IND,L 104-112,*,33:58,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,2,7,9,5,1,2,1,1,2,4.8,6
23,,26,2022-12-07,GSW,@,UTA,L 123-124,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
24,709,27,2022-12-10,GSW,,BOS,W 123-107,*,35:55,5,10,.500,0,2,.000,5,8,.625,.500,1,2,.500,0,4,4,2,0,1,3,0,11,5.9,9
25,710,28,2022-12-13,GSW,@,MIL,L 111-128,*,23:06,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,6,6,7,0,0,3,2,2,3.2,-9
26,711,29,2022-12-14,GSW,@,IND,L 119-125,*,27:03,0,3,.000,0,1,.000,0,2,.000,.000,1,2,.500,1,1,2,3,0,0,6,1,1,-4.8,5
26,,30,2022-12-16,GSW,@,PHI,L 106-118,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
27,712,31,2022-12-18,GSW,@,TOR,W 126-110,*,36:34,7,15,.467,3,6,.500,4,9,.444,.567,0,0,,3,6,9,5,0,0,2,3,17,13.5,8
28,713,32,2022-12-20,GSW,@,NYK,L 94-132,*,26:03,3,5,.600,1,3,.333,2,2,1.000,.700,0,0,,1,4,5,6,0,0,1,3,7,8.6,-14
29,714,33,2022-12-21,GSW,@,BRK,L 113-143,*,23:16,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,4,4,6,0,0,2,2,2,3.6,-27
30,715,34,2022-12-25,GSW,,MEM,W 123-109,*,35:13,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,13,13,13,1,2,2,2,3,13.9,13
31,716,35,2022-12-27,GSW,,CHO,W 110-105,*,34:42,3,7,.429,0,2,.000,3,5,.600,.429,3,3,1.000,0,10,10,5,0,1,3,4,9,7.9,5
32,717,36,2022-12-28,GSW,,UTA,W 112-107,*,29:50,2,7,.286,2,6,.333,0,1,.000,.429,0,0,,2,7,9,5,0,3,1,2,6,9.2,6
33,718,37,2022-12-30,GSW,,POR,W 118-112,*,32:38,4,11,.364,2,4,.500,2,7,.286,.455,0,0,,3,8,11,4,1,0,1,3,10,10.0,8
34,719,38,2023-01-02,GSW,,ATL,W 143-141 (2OT),*,44:35,2,5,.400,1,1,1.000,1,4,.250,.500,0,0,,1,12,13,11,2,3,2,4,5,14.8,9
35,720,39,2023-01-04,GSW,,DET,L 119-122,*,30:05,2,4,.500,0,2,.000,2,2,1.000,.500,0,0,,2,6,8,7,0,1,2,0,4,8.8,0
36,721,40,2023-01-07,GSW,,ORL,L 101-115,*,32:31,2,6,.333,1,5,.200,1,1,1.000,.417,0,2,.000,0,5,5,6,0,0,3,4,5,1.9,-3
37,722,41,2023-01-10,GSW,,PHO,L 113-125,*,34:21,1,5,.200,1,3,.333,0,2,.000,.300,2,2,1.000,1,11,12,6,3,0,3,4,5,8.5,-2
38,723,42,2023-01-13,GSW,@,SAS,W 144-113,*,28:58,3,5,.600,0,1,.000,3,4,.750,.600,0,0,,0,12,12,4,3,1,2,3,6,10.6,20
39,724,43,2023-01-15,GSW,@,CHI,L 118-132,*,30:11,2,6,.333,0,1,.000,2,5,.400,.333,4,5,.800,1,3,4,7,2,1,6,4,8,5.8,-28
40,725,44,2023-01-16,GSW,@,WAS,W 127-118,*,35:12,5,7,.714,2,3,.667,3,4,.750,.857,5,6,.833,2,4,6,10,3,0,2,3,17,23.1,-4
41,726,45,2023-01-19,GSW,@,BOS,L 118-121 (OT),*,37:09,3,5,.600,1,2,.500,2,3,.667,.700,4,4,1.000,2,11,13,9,1,0,2,4,11,17.1,-4
41,,46,2023-01-20,GSW,@,CLE,W 120-114,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
42,727,47,2023-01-22,GSW,,BRK,L 116-120,*,32:46,4,7,.571,1,2,.500,3,5,.600,.643,0,0,,1,10,11,7,1,0,1,4,9,12.7,-18
43,728,48,2023-01-25,GSW,,MEM,W 122-120,*,32:08,3,3,1.000,0,0,,3,3,1.000,1.000,2,4,.500,0,13,13,7,1,3,5,5,8,11.2,2
44,729,49,2023-01-27,GSW,,TOR,W 129-117,*,32:44,2,4,.500,0,1,.000,2,3,.667,.500,1,2,.500,0,7,7,7,0,0,2,1,5,7.2,4
45,730,50,2023-01-30,GSW,@,OKC,W 128-120,*,31:23,3,4,.750,0,1,.000,3,3,1.000,.750,1,2,.500,1,8,9,12,2,0,3,3,7,14.3,2
46,731,51,2023-02-01,GSW,@,MIN,L 114-119 (OT),*,39:28,5,10,.500,0,0,,5,10,.500,.500,0,3,.000,0,12,12,4,1,0,5,3,10,5.0,-6
46,,52,2023-02-02,GSW,@,DEN,L 117-134,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
47,732,53,2023-02-04,GSW,,DAL,W 119-113,*,32:20,6,13,.462,3,7,.429,3,6,.500,.577,2,2,1.000,0,9,9,9,0,2,2,3,17,17.5,2
48,733,54,2023-02-06,GSW,,OKC,W 141-114,*,27:55,3,4,.750,0,1,.000,3,3,1.000,.750,1,2,.500,1,9,10,4,3,2,2,2,7,12.8,8
49,734,55,2023-02-08,GSW,@,POR,L 122-125,*,34:30,2,7,.286,0,1,.000,2,6,.333,.286,0,0,,4,2,6,7,0,1,4,3,4,3.7,4
50,735,56,2023-02-11,GSW,,LAL,L 103-109,*,33:54,5,8,.625,1,3,.333,4,5,.800,.688,1,1,1.000,0,7,7,10,2,1,4,4,12,14.6,10
51,736,57,2023-02-13,GSW,,WAS,W 135-126,*,23:59,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,0,0,6,2,0,2,4,4,5.3,3
52,737,58,2023-02-14,GSW,@,LAC,L 124-134,*,33:10,6,6,1.000,1,1,1.000,5,5,1.000,1.083,2,2,1.000,0,5,5,7,1,0,3,3,15,16.4,-9
53,738,59,2023-02-23,GSW,@,LAL,L 111-124,*,24:45,3,10,.300,0,1,.000,3,9,.333,.300,0,0,,4,7,11,5,1,1,2,3,6,7.1,-7
53,,60,2023-02-24,GSW,,HOU,W 116-101,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
53,,61,2023-02-26,GSW,,MIN,W 109-104,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,739,62,2023-02-28,GSW,,POR,W 123-105,*,32:10,4,5,.800,1,2,.500,3,3,1.000,.900,3,4,.750,0,9,9,8,2,2,3,5,12,16.4,26
55,740,63,2023-03-02,GSW,,LAC,W 115-91,*,29:03,5,7,.714,0,1,.000,5,6,.833,.714,1,2,.500,1,8,9,9,0,0,4,4,11,11.5,19
