Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,,1,2020-12-22,GSW,@,BRK,L 99-125,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2020-12-25,GSW,@,MIL,L 99-138,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2020-12-27,GSW,@,CHI,W 129-128,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2020-12-29,GSW,@,DET,W 116-106,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
1,577,5,2021-01-01,GSW,,POR,L 98-123,*,17:38,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,4,4,4,1,0,1,4,0,0.3,-18
2,578,6,2021-01-03,GSW,,POR,W 137-122,*,27:50,0,2,.000,0,1,.000,0,1,.000,.000,1,2,.500,0,3,3,8,1,1,1,3,1,5.2,22
3,579,7,2021-01-04,GSW,,SAC,W 137-106,*,21:14,1,3,.333,1,2,.500,0,1,.000,.500,2,2,1.000,0,5,5,5,2,0,1,3,5,8.1,13
4,580,8,2021-01-06,GSW,,LAC,L 101-108,*,31:17,1,3,.333,0,2,.000,1,1,1.000,.333,2,3,.667,0,6,6,6,2,0,3,4,4,5.3,-11
5,581,9,2021-01-08,GSW,,LAC,W 115-105,*,30:37,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,1,2,3,3,2,0,2,3,4,4.2,-7
6,582,10,2021-01-10,GSW,,TOR,W 106-105,*,29:22,3,8,.375,2,5,.400,1,3,.333,.500,2,3,.667,1,8,9,10,0,1,3,1,10,12.6,-3
7,583,11,2021-01-12,GSW,,IND,L 95-104,*,31:56,2,7,.286,0,2,.000,2,5,.400,.286,3,3,1.000,1,5,6,10,2,0,3,3,7,9.9,-3
8,584,12,2021-01-14,GSW,@,DEN,L 104-114,*,25:15,0,2,.000,0,0,,0,2,.000,.000,1,4,.250,0,4,4,7,1,0,5,5,1,-1.5,-4
9,585,13,2021-01-18,GSW,@,LAL,W 115-113,*,30:54,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,0,8,8,9,1,0,3,5,7,8.7,-8
10,586,14,2021-01-20,GSW,,SAS,W 121-99,*,25:33,4,7,.571,1,3,.333,3,4,.750,.643,0,0,,0,1,1,6,0,0,1,0,9,9.2,24
11,587,15,2021-01-21,GSW,,NYK,L 104-119,*,17:05,1,3,.333,1,3,.333,0,0,,.500,0,0,,0,0,0,8,0,0,2,2,3,4.1,-8
12,588,16,2021-01-23,GSW,@,UTA,L 108-127,*,24:43,2,9,.222,0,3,.000,2,6,.333,.222,0,0,,1,3,4,6,0,0,2,2,4,1.5,-26
13,589,17,2021-01-25,GSW,,MIN,W 130-108,*,30:23,4,8,.500,1,4,.250,3,4,.750,.563,1,1,1.000,0,6,6,4,1,0,4,4,10,6.0,19
14,590,18,2021-01-27,GSW,,MIN,W 123-111,*,29:38,3,6,.500,0,0,,3,6,.500,.500,0,0,,1,5,6,8,2,0,4,3,6,7.6,30
15,591,19,2021-01-28,GSW,@,PHO,L 93-114,*,24:55,1,7,.143,0,1,.000,1,6,.167,.143,0,0,,3,1,4,6,3,0,2,3,2,3.9,-17
16,592,20,2021-01-30,GSW,,DET,W 118-91,*,27:45,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,5,5,6,1,0,1,0,4,7.0,23
17,593,21,2021-02-02,GSW,,BOS,L 107-111,*,36:30,1,7,.143,0,3,.000,1,4,.250,.143,0,0,,1,10,11,7,2,2,5,5,2,2.5,7
18,594,22,2021-02-04,GSW,@,DAL,W 147-116,*,28:45,3,5,.600,0,0,,3,5,.600,.600,5,5,1.000,1,5,6,15,0,0,1,1,11,20.0,19
19,595,23,2021-02-06,GSW,@,DAL,L 132-134,*,37:04,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,1,5,6,15,7,4,7,5,2,14.1,7
20,596,24,2021-02-08,GSW,@,SAS,L 100-105,*,35:37,3,11,.273,1,4,.250,2,7,.286,.318,0,2,.000,0,10,10,10,1,2,5,5,7,5.1,3
21,597,25,2021-02-09,GSW,@,SAS,W 114-91,*,31:56,3,4,.750,0,0,,3,4,.750,.750,0,0,,0,7,7,11,1,0,3,4,6,10.6,15
22,598,26,2021-02-11,GSW,,ORL,W 111-105,*,36:50,3,7,.429,0,1,.000,3,6,.500,.429,2,3,.667,1,5,6,11,1,2,3,3,8,12.0,13
23,599,27,2021-02-13,GSW,,BRK,L 117-134,*,32:24,2,5,.400,0,1,.000,2,4,.500,.400,2,4,.500,1,6,7,8,0,1,0,3,6,10.1,-26
24,600,28,2021-02-15,GSW,,CLE,W 129-98,*,29:47,3,6,.500,0,0,,3,6,.500,.500,0,0,,1,7,8,16,2,2,1,3,6,18.2,20
24,,29,2021-02-17,GSW,,MIA,W 120-112 (OT),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
25,601,30,2021-02-19,GSW,@,ORL,L 120-124,*,33:35,2,5,.400,2,2,1.000,0,3,.000,.600,0,0,,1,5,6,9,1,0,3,4,6,8.2,-16
26,602,31,2021-02-20,GSW,@,CHO,L 100-102,*,31:54,2,7,.286,1,4,.250,1,3,.333,.357,0,0,,2,5,7,3,0,2,1,3,5,5.1,-5
27,603,32,2021-02-23,GSW,@,NYK,W 114-106,*,36:45,3,9,.333,1,4,.250,2,5,.400,.389,0,0,,2,7,9,12,3,2,3,4,7,13.6,19
28,604,33,2021-02-24,GSW,@,IND,W 111-107,*,35:56,4,5,.800,0,1,.000,4,4,1.000,.800,4,4,1.000,0,9,9,11,3,1,3,5,12,19.2,7
29,605,34,2021-02-26,GSW,,CHO,W 130-121,*,35:53,5,8,.625,1,3,.333,4,5,.800,.688,0,0,,1,11,12,19,1,1,5,4,11,19.8,23
30,606,35,2021-02-28,GSW,@,LAL,L 91-117,*,12:54,3,5,.600,0,1,.000,3,4,.750,.600,0,0,,0,1,1,2,0,1,3,1,6,2.7,-22
31,607,36,2021-03-03,GSW,@,POR,L 106-108,*,36:17,2,5,.400,1,1,1.000,1,4,.250,.500,0,0,,3,6,9,12,3,0,3,5,5,12.6,-6
31,,37,2021-03-04,GSW,@,PHO,L 98-120,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
32,608,38,2021-03-11,GSW,@,LAC,L 104-130,*,25:10,3,7,.429,2,3,.667,1,4,.250,.571,4,4,1.000,0,3,3,2,2,1,3,3,12,9.1,-17
33,609,39,2021-03-14,GSW,,UTA,W 131-119,*,35:38,5,10,.500,1,4,.250,4,6,.667,.550,0,0,,1,11,12,12,4,0,1,2,11,20.6,19
34,610,40,2021-03-15,GSW,,LAL,L 97-128,*,29:13,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,6,6,6,1,1,4,1,2,3.2,-12
35,611,41,2021-03-17,GSW,@,HOU,W 108-94,*,32:27,7,8,.875,1,2,.500,6,6,1.000,.938,1,1,1.000,1,11,12,10,0,1,4,4,16,19.3,17
36,612,42,2021-03-19,GSW,@,MEM,W 116-103,*,34:21,0,6,.000,0,2,.000,0,4,.000,.000,2,2,1.000,3,8,11,13,1,2,4,3,2,8.6,24
37,613,43,2021-03-20,GSW,@,MEM,L 103-111,*,31:21,2,4,.500,0,0,,2,4,.500,.500,3,4,.750,3,5,8,3,1,1,2,3,7,8.8,-27
38,614,44,2021-03-23,GSW,,PHI,L 98-108,*,33:54,2,7,.286,0,2,.000,2,5,.400,.286,2,2,1.000,0,9,9,6,2,2,3,5,6,7.2,-20
38,,45,2021-03-25,GSW,@,SAC,L 119-141,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
39,615,46,2021-03-26,GSW,,ATL,L 108-124,*,27:14,0,0,,0,0,,0,0,,,0,0,,1,1,2,9,0,0,4,4,0,1.7,-23
40,616,47,2021-03-29,GSW,,CHI,W 116-102,*,33:42,4,7,.571,3,5,.600,1,2,.500,.786,0,0,,0,5,5,9,1,1,3,1,11,13.8,12
41,617,48,2021-04-01,GSW,@,MIA,L 109-116,*,35:48,7,13,.538,1,3,.333,6,10,.600,.577,1,1,1.000,3,7,10,8,4,0,4,4,16,17.9,-9
41,,49,2021-04-02,GSW,@,TOR,L 77-130,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
42,618,50,2021-04-04,GSW,@,ATL,L 111-117,*,36:01,4,6,.667,1,2,.500,3,4,.750,.750,2,3,.667,2,5,7,11,4,0,4,1,11,18.2,9
43,619,51,2021-04-06,GSW,,MIL,W 122-121,*,29:29,3,8,.375,0,3,.000,3,5,.600,.375,0,0,,2,3,5,8,0,1,2,6,6,5.8,5
44,620,52,2021-04-09,GSW,,WAS,L 107-110,*,33:12,2,9,.222,0,3,.000,2,6,.333,.222,1,2,.500,2,3,5,8,2,2,3,2,5,6.6,-7
45,621,53,2021-04-10,GSW,,HOU,W 125-109,*,34:38,0,3,.000,0,0,,0,3,.000,.000,2,2,1.000,2,5,7,7,3,0,5,2,2,4.9,15
46,622,54,2021-04-12,GSW,,DEN,W 116-107,*,36:43,7,8,.875,2,3,.667,5,5,1.000,1.000,2,2,1.000,0,7,7,7,4,0,2,5,18,22.2,16
47,623,55,2021-04-14,GSW,@,OKC,W 147-109,*,30:21,5,10,.500,0,2,.000,5,8,.625,.500,2,3,.667,1,9,10,16,3,2,4,1,12,21.2,33
48,624,56,2021-04-15,GSW,@,CLE,W 119-101,*,32:18,2,8,.250,1,4,.250,1,4,.250,.313,0,0,,0,10,10,8,3,2,6,2,5,6.4,-1
49,625,57,2021-04-17,GSW,@,BOS,L 114-119,*,37:21,2,6,.333,1,2,.500,1,4,.250,.417,0,0,,0,5,5,10,1,1,2,3,5,8.6,-8
50,626,58,2021-04-19,GSW,@,PHI,W 107-96,*,30:53,4,8,.500,0,3,.000,4,5,.800,.500,0,0,,0,6,6,6,2,0,1,5,8,9.0,15
51,627,59,2021-04-21,GSW,@,WAS,L 114-118,*,32:18,3,6,.500,0,2,.000,3,4,.750,.500,2,2,1.000,1,3,4,8,3,0,2,6,8,10.8,-5
52,628,60,2021-04-23,GSW,,DEN,W 118-97,*,32:31,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,11,12,19,0,0,6,1,2,11.2,11
53,629,61,2021-04-25,GSW,,SAC,W 117-113,*,36:43,4,6,.667,0,1,.000,4,5,.800,.667,0,0,,1,13,14,13,0,1,4,2,8,15.0,13
54,630,62,2021-04-27,GSW,,DAL,L 103-133,*,28:44,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,11,11,3,3,2,6,3,0,1.9,-18
55,631,63,2021-04-29,GSW,@,MIN,L 114-126,*,36:08,5,6,.833,1,1,1.000,4,5,.800,.917,0,0,,1,4,5,5,3,3,2,5,11,15.3,3
56,632,64,2021-05-01,GSW,@,HOU,W 113-87,*,29:18,3,5,.600,0,2,.000,3,3,1.000,.600,3,4,.750,0,11,11,8,1,0,1,3,9,14.0,27
57,633,65,2021-05-03,GSW,@,NOP,W 123-108,*,36:58,4,5,.800,0,0,,4,5,.800,.800,2,2,1.000,2,11,13,15,3,2,4,4,10,22.1,21
58,634,66,2021-05-04,GSW,@,NOP,L 103-108,*,36:22,3,6,.500,1,2,.500,2,4,.500,.583,0,1,.000,1,11,12,9,1,2,6,4,7,8.7,-4
59,635,67,2021-05-06,GSW,,OKC,W 118-97,*,32:15,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,0,9,9,9,0,1,4,0,5,7.6,22
60,636,68,2021-05-08,GSW,,OKC,W 136-97,*,30:18,5,8,.625,3,4,.750,2,4,.500,.813,2,2,1.000,0,5,5,13,2,0,2,2,15,21.2,33
61,637,69,2021-05-10,GSW,,UTA,W 119-116,*,37:05,5,10,.500,1,3,.333,4,7,.571,.550,1,1,1.000,1,5,6,10,2,0,1,1,12,16.8,0
62,638,70,2021-05-11,GSW,,PHO,W 122-116,*,37:16,4,7,.571,1,2,.500,3,5,.600,.643,2,2,1.000,2,8,10,11,4,0,2,3,11,20.0,6
62,,71,2021-05-14,GSW,,NOP,W 125-122,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
63,639,72,2021-05-16,GSW,,MEM,W 113-101,*,37:52,4,7,.571,0,2,.000,4,5,.800,.571,6,6,1.000,1,7,8,9,1,2,3,3,14,18.0,7
,,,,,,,35-28,63,1982,170,380,.447,34,126,.270,136,254,.535,.492,70,88,.795,55,393,448,558,105,52,188,194,444,10.5,241
